189	37	105	14	37	14
53	27	27	80	27	53
58	58	17	15	17	51
44	44	44	23	44	44
63	26	14	14	70	63
93	71	93	60	80	60
20	20	42	20	115	42
76	87	11	98	147	87
42	6	82	42	42	42
90	90	15	56	151	153
45	45	98	98	48	86
58	139	24	24	67	67
69	72	63	69	89	69
51	51	18	78	51	40
96	96	23	96	23	115
27	14	27	27	14	84
62	80	23	80	23	37
39	19	88	53	120	128
23	111	65	184	65	184
49	49	85	85	36	18
60	174	60	112	42	136
83	91	47	83	128	47
163	144	126	198	198	88
72	50	50	50	72	56
6	118	19	6	137	19
198	60	108	13	60	60
84	80	80	78	78	11
38	22	70	38	79	79
54	182	99	112	147	75
114	117	171	114	65	80
94	188	6	44	44	6
7	7	108	32	32	32
103	37	183	131	121	21
97	97	97	5	94	5
57	87	57	194	86	57
45	13	13	41	45	11
55	22	55	22	55	117
27	27	93	85	117	55
192	29	192	29	94	29
34	34	69	34	34	61
52	93	52	56	56	23
96	55	142	178	162	82
14	82	14	14	29	29
197	72	194	42	121	34
160	62	62	105	160	182
15	15	53	75	53	53
88	127	49	88	88	43
118	178	162	162	111	59
40	18	33	33	33	65
199	15	199	88	88	21
20	190	41	41	91	70
13	24	145	66	118	137
86	86	22	22	105	75
58	17	58	58	26	72
15	157	176	176	141	9
114	20	20	67	116	67
107	57	13	82	82	13
5	5	5	8	152	17
38	173	57	30	43	133
70	188	45	148	67	83
87	69	112	138	87	20
31	20	31	18	18	39
84	38	66	84	84	54
92	51	92	87	75	75
99	124	45	32	190	184
57	32	7	32	32	32
45	74	56	43	45	48
197	62	178	183	104	11
20	73	70	73	70	11
49	21	21	52	21	52
58	42	13	13	192	42
25	37	25	25	25	89
200	98	21	35	15	79
40	128	16	120	27	128
20	24	24	95	20	71
11	11	82	65	11	58
133	17	54	66	133	19
91	29	49	121	29	49
70	49	70	64	64	20
176	176	38	90	45	45
44	20	6	20	20	32
56	26	43	26	61	26
113	158	122	155	160	122
10	104	80	28	28	28
117	70	63	28	70	63
145	171	111	88	121	145
32	31	31	32	180	46
197	167	172	109	95	139
29	75	38	59	38	59
53	33	109	18	33	18
72	72	72	35	11	72
69	99	77	11	80	55
45	22	15	190	22	188
99	16	25	126	82	185
151	151	145	106	106	79
55	38	38	60	38	38
99	30	118	175	30	99
139	63	63	13	82	29
98	98	55	55	139	98
64	11	141	178	43	141
64	127	190	100	35	22
187	187	127	52	131	22
166	44	44	32	16	32
15	15	88	88	12	27
59	94	59	111	94	94
87	81	154	81	61	81
39	60	96	39	39	99
39	39	7	118	39	122
65	84	119	154	126	86
75	71	21	75	75	71
6	42	116	116	10	33
98	12	12	98	120	113
15	39	15	55	132	55
34	154	109	34	159	196
46	109	16	135	175	174
20	26	118	104	26	26
13	111	93	139	183	97
59	121	110	41	185	92
49	100	153	153	172	172
139	106	92	41	106	155
62	61	163	61	184	125
62	62	43	43	24	62
26	195	42	38	45	71
90	111	52	180	81	180
77	192	42	58	58	77
67	104	91	104	172	104
27	41	100	41	76	100
189	160	43	69	160	175
66	66	73	66	89	66
183	89	156	37	156	156
79	116	149	45	28	179
175	51	105	51	116	183
19	19	31	19	159	62
39	114	39	178	43	43
94	30	78	94	78	80
64	147	147	70	95	147
39	39	80	133	80	71
117	70	20	20	176	178
90	46	110	184	184	110
66	27	27	72	117	27
55	60	52	60	60	60
96	150	133	43	194	194
27	191	117	62	79	82
13	100	149	185	45	185
25	112	25	138	192	128
17	34	174	174	61	168
47	47	99	47	47	47
91	85	86	171	124	124
52	34	19	90	29	161
131	14	48	113	131	147
111	21	161	161	111	107
40	115	16	151	115	16
34	34	45	45	193	39
162	146	120	162	130	174
50	90	74	74	74	36
92	137	153	92	99	137
31	78	170	10	10	10
52	59	44	128	59	59
76	68	47	86	76	68
184	24	187	184	24	109
169	13	173	81	95	136
58	129	129	51	82	58
73	195	111	154	168	148
130	25	144	66	106	49
187	5	175	91	91	175
46	175	64	64	64	31
57	27	192	144	144	100
97	22	178	30	30	80
69	112	190	56	56	32
28	6	32	28	142	32
48	108	46	46	46	117
13	89	89	101	88	89
18	18	73	42	73	28
74	57	27	74	88	27
44	200	32	177	85	170
8	21	67	8	74	21
81	190	85	45	67	161
125	157	42	75	80	142
54	32	32	41	117	160
107	82	47	138	107	82
7	7	76	58	7	36
72	102	49	81	72	81
133	105	171	58	89	102
55	55	54	90	25	25
49	54	48	152	194	189
165	64	85	165	64	23
27	35	31	117	35	31
104	168	173	38	54	140
